"","x1","x2"
"1",-66.3833,7.6
"2",2015,1.01656395543442e-05
"3",2014,1.06889074422801e-05
"4",2013,1.12364991840154e-05
"5",2012,1.18093999522226e-05
"6",2011,1.24086271815521e-05
"7",2010,1.30352312441273e-05
"8",2009,1.38456240912838e-05
"9",2008,1.47012237608797e-05
"10",2007,1.56042031036138e-05
"11",2006,1.65568172858035e-05
"12",2005,1.75614055743925e-05
"13",2004,1.88096359636311e-05
"14",2003,2.01373527140314e-05
"15",2002,2.15488885920322e-05
"16",2001,2.30487582799566e-05
"17",2000,2.46416621446724e-05
"18",1999,2.61295137230659e-05
"19",1998,2.76985239462025e-05
"20",1997,2.93524880958319e-05
"21",1996,3.10953353119099e-05
"22",1995,3.29311303981734e-05
"23",1994,3.42347027980972e-05
"24",1993,3.55845402305184e-05
"25",1992,3.69820119416117e-05
"26",1991,3.8428514689006e-05
"27",1990,3.99254726934013e-05
"28",1989,4.08977987923945e-05
"29",1988,4.18910238610477e-05
"30",1987,4.29055150303411e-05
"31",1986,4.39416435967476e-05
"32",1985,4.49997850070989e-05
"33",1984,4.5178722033441e-05
"34",1983,4.53586678845975e-05
"35",1982,4.55396272373401e-05
"36",1981,4.57216047825694e-05
"37",1980,4.5904605225251e-05
"38",1979,4.54535739512138e-05
"39",1978,4.5006417935543e-05
"40",1977,4.45631100545478e-05
"41",1976,4.41236233095452e-05
"42",1975,4.36879308269576e-05
"43",1974,4.28278217807621e-05
"44",1973,4.19825704325814e-05
"45",1972,4.11519663054844e-05
"46",1971,4.03358009306004e-05
"47",1970,3.95338678482112e-05
"48",1969,3.88763146086647e-05
"49",1968,3.82283856410767e-05
"50",1967,3.7589964664743e-05
"51",1966,3.69609363677368e-05
"52",1965,3.63411864064337e-05
"53",1964,3.6068686216745e-05
"54",1963,3.5798284295485e-05
"55",1962,3.55299663521199e-05
"56",1961,3.52637181623193e-05
"57",1960,3.49995255680833e-05
"58",1959,3.46192388680967e-05
"59",1958,3.42428682379417e-05
"60",1957,3.38703787851947e-05
"61",1956,3.35017358324587e-05
"62",1955,3.31369049175889e-05
"63",1954,3.24839871174571e-05
"64",1953,3.18429185404781e-05
"65",1952,3.12135114891987e-05
"66",1951,3.05955805444133e-05
"67",1950,2.99889425547322e-05
"68",1949,2.96786925149995e-05
"69",1948,2.93712887528524e-05
"70",1947,2.90667093547975e-05
"71",1946,2.87649325301583e-05
"72",1945,2.84659366108732e-05
"73",1944,2.85652942603127e-05
"74",1943,2.86649593007457e-05
"75",1942,2.87649325301583e-05
"76",1941,2.88652147480474e-05
"77",1940,2.89658067554204e-05
"78",1939,2.97597593994763e-05
"79",1938,3.05734221509533e-05
"80",1937,3.14072150311224e-05
"81",1936,3.22615647846749e-05
"82",1935,3.31369049175889e-05
"83",1934,3.51408623928262e-05
"84",1933,3.72507829607183e-05
"85",1932,3.94712427308075e-05
"86",1931,4.18069505251271e-05
"87",1930,4.42627477468877e-05
"88",1929,4.66591097922606e-05
"89",1928,4.91679025083815e-05
"90",1927,5.17933580930662e-05
"91",1926,5.45398090785709e-05
"92",1925,5.74116874296857e-05
"93",1924,5.88960737718051e-05
"94",1923,6.04135234143155e-05
"95",1922,6.1964617776395e-05
"96",1921,6.3549944236934e-05
"97",1920,6.5170096078192e-05
"98",1919,6.6161766993125e-05
"99",1918,6.71671701909132e-05
"100",1917,6.81864641835047e-05
"101",1916,6.92198086376102e-05
"102",1915,7.02673643688902e-05
"103",1914,7.07439125238599e-05
"104",1913,7.12237139683906e-05
"105",1912,7.17067869907682e-05
"106",1911,7.21931499254796e-05
"107",1910,7.26828211525897e-05
"108",1909,7.31758190971035e-05
"109",1908,7.36721622283196e-05
"110",1907,7.41718690591752e-05
"111",1906,7.4674958145577e-05
"112",1905,7.51814480857263e-05
"113",1904,7.58780543674594e-05
"114",1903,7.65801685950331e-05
"115",1902,7.72878242973456e-05
"116",1901,7.80010551069024e-05
"117",1900,7.87198947591002e-05
"118",1899,7.98833428449282e-05
"119",1898,8.10623264533754e-05
"120",1897,8.22570153458624e-05
"121",1896,8.34675803532003e-05
"122",1895,8.46941933659053e-05
"123",1894,8.68117511094147e-05
"124",1893,8.89742532135984e-05
"125",1892,9.11824118487941e-05
"126",1891,9.34369435543161e-05
"127",1890,9.57385690582007e-05
"128",1889,9.82697605211494e-05
"129",1888,0.000100858458566659
"130",1887,0.000103505660519658
"131",1886,0.000106212371275603
"132",1885,0.00010897960303613
"133",1884,0.0001112166797338
"134",1883,0.000113492032534905
"135",1882,0.000115806134844653
"136",1881,0.000118159461826824
"137",1880,0.000120552490310302
"138",1879,0.000122928029747119
"139",1878,0.00012534370566601
"140",1877,0.000127800022736267
"141",1876,0.000130297487645036
"142",1875,0.000132836608988442
"143",1874,0.000135532169093507
"144",1873,0.000138272993847826
"145",1872,0.000141059602722742
"146",1871,0.000143892515291436
"147",1870,0.000146772251065833
"148",1869,0.000149222267972192
"149",1868,0.000151705673835336
"150",1867,0.000154222776471729
"151",1866,0.000156773883768411
"152",1865,0.000159359303622707
"153",1864,0.000160597842977053
"154",1863,0.000161845451346107
"155",1862,0.000163102179955493
"156",1861,0.000164368080086823
"157",1860,0.000165643203074101
"158",1859,0.000164240832033682
"159",1858,0.000162848796554375
"160",1857,0.00016146704587464
"161",1856,0.00016009552913201
"162",1855,0.000158734195368604
"163",1854,0.00015493471104695
"164",1853,0.000151211462717025
"165",1852,0.000147563370759348
"166",1851,0.000143989357418084
"167",1850,0.000140488347258101
"168",1849,0.00013854220097565
"169",1848,0.000136618314245349
"170",1847,0.000134716509402216
"171",1846,0.000132836608988442
"172",1845,0.000130978435774765
"173",1844,0.000133210845227315
"174",1843,0.0001354745928752
"175",1842,0.0001377699850909
"176",1841,0.000140097328703111
"177",1840,0.000142456930943162
"178",1839,0.000147681533393352
"179",1838,0.000153062149173775
"180",1837,0.000158601914642109
"181",1836,0.00016430396702176
"182",1835,0.000170171441462961
"183",1834,0.000176745477488641
"184",1833,0.000183522521814173
"185",1832,0.000190506493561986
"186",1831,0.00019770128344532
"187",1830,0.000205110748218587
"188",1829,0.000212660126925739
"189",1828,0.000220427967788359
"190",1827,0.000228417988565211
"191",1826,0.000236633859465078
"192",1825,0.000245079197397101
"193",1824,0.000251794507762523
"194",1823,0.000258654661462642
"195",1822,0.000265661418075608
"196",1821,0.000272816511521182
"197",1820,0.000280121648092789
"198",1819,0.0002855075130661
"199",1818,0.000290974536204544
"200",1817,0.000296523363799122
"201",1816,0.00030215463244099
"202",1815,0.000307868968568037
"203",1814,0.000312427981882153
"204",1813,0.000317040912069788
"205",1812,0.000321708013524811
"206",1811,0.000326429532138922
"207",1810,0.000331205705064864
"208",1809,0.000334294393822088
"209",1808,0.000337404464744593
"210",1807,0.000340535979304885
"211",1806,0.000343688998125103
"212",1805,0.000346863580963778
"213",1804,0.00034766060297098
"214",1803,0.000348458977325167
"215",1802,0.000349258704934227
"216",1801,0.00035005978670255
"217",1800,0.000350862223531006
"218",1799,0.000350767975910953
"219",1798,0.000350675067630398
"220",1797,0.000350583499418961
"221",1796,0.000350493271995486
"222",1795,0.000350404386068052
"223",1794,0.000349602252835532
"224",1793,0.000348801475853987
"225",1792,0.000348002054218148
"226",1791,0.000347203987019226
"227",1790,0.000346407273344933
"228",1789,0.000347203987019226
"229",1788,0.000348002054218148
"230",1787,0.000348801475853987
"231",1786,0.000349602252835532
"232",1785,0.000350404386068052
"233",1784,0.000356057369021861
"234",1783,0.000361777156152141
"235",1782,0.000367564043125132
"236",1781,0.000373418316665778
"237",1780,0.000379340254336767
"238",1779,0.00038019178479135
"239",1778,0.000381044702401615
"240",1777,0.000381899007929568
"241",1776,0.000382754702133189
"242",1775,0.000383611785766415
"243",1774,0.000372668244979573
"244",1773,0.00036195788447462
"245",1772,0.000351478736947702
"246",1771,0.000341228732767289
"247",1770,0.000331205705064864
"248",1769,0.000320562771971477
"249",1768,0.000310178248219991
"250",1767,0.000300049267618701
"251",1766,0.000290172854031753
"252",1765,0.000280545928123509
"253",1764,0.000275738261189032
"254",1763,0.000270994164239433
"255",1762,0.000266313224603408
"256",1761,0.000261695022550003
"257",1760,0.000257139131542551
"258",1759,0.000259533217235769
"259",1758,0.000261950418568616
"260",1757,0.000264390887451822
"261",1756,0.000266854775027832
"262",1755,0.000269342231624225
"263",1754,0.000278902801268168
"264",1753,0.000288726822131944
"265",1752,0.000298817660165967
"266",1751,0.000309178529868967
"267",1750,0.000319812483874053
"268",1749,0.000331975876069551
"269",1748,0.000344480619892889
"270",1747,0.000357330607257262
"271",1746,0.000370529504724772
"272",1745,0.000384080739845368
"273",1744,0.000390892550008415
"274",1743,0.000397794222926446
"275",1742,0.00040478618601993
"276",1741,0.000411868849454344
"277",1740,0.000419042605640168
"278",1739,0.000424369955882098
"279",1738,0.000429753228387328
"280",1737,0.000435192643769907
"281",1736,0.000440688414007871
"282",1735,0.000446240742206924
"283",1734,0.000452166036630343
"284",1733,0.000458149292116256
"285",1732,0.000464190546988209
"286",1731,0.000470289826466992
"287",1730,0.000476447142455134
"288",1729,0.000482566503899221
"289",1728,0.00048873944688265
"290",1727,0.000494965982551584
"291",1726,0.000501246112896761
"292",1725,0.000507579830634641
"293",1724,0.000513865134399899
"294",1723,0.000520202522215938
"295",1722,0.000526592005279989
"296",1721,0.000533033587145031
"297",1720,0.000539527263625187
"298",1719,0.000546969425473498
"299",1718,0.00055448837870975
"300",1717,0.000562084193619042
"301",1716,0.000569756920435628
"302",1715,0.000577506588930448
"303",1714,0.000585590712041942
"304",1713,0.000593746623811163
"305",1712,0.000601974131673342
"306",1711,0.000610273024062556
"307",1710,0.000618643070214401
"308",1709,0.000635501205380672
"309",1708,0.000652637823312621
"310",1707,0.000670050762115361
"311",1706,0.00068773756866451
"312",1705,0.0007056954938101
"313",1704,0.000738164465509123
"314",1703,0.00077147849660972
"315",1702,0.000805617797306482
"316",1701,0.000840559489431321
"317",1700,0.000876277546281025
"318",1699,0.000905376806964297
"319",1698,0.000934939397401295
"320",1697,0.000964947607687598
