"","x1","x2"
"1",-65.697,7.92
"2",2005,1.02832290399717e-05
"3",2004,1.16486399379304e-05
"4",2003,1.31789707567929e-05
"5",2002,1.48917657351348e-05
"6",2001,1.68061104700631e-05
"7",2000,1.89427251962925e-05
"8",1999,2.10077800165982e-05
"9",1998,2.32795774929875e-05
"10",1997,2.57763873317539e-05
"11",1996,2.8517789783021e-05
"12",1995,3.15247332520256e-05
"13",1994,3.3822524713996e-05
"14",1993,3.62705869109926e-05
"15",1992,3.8877181972131e-05
"16",1991,4.16508941088428e-05
"17",1990,4.46006315403502e-05
"18",1989,4.65485466617822e-05
"19",1988,4.85714709237874e-05
"20",1987,5.06717730041817e-05
"21",1986,5.28518712354839e-05
"22",1985,5.5114233467789e-05
"23",1984,5.55395264514624e-05
"24",1983,5.59689806888971e-05
"25",1982,5.64026298403586e-05
"26",1981,5.6840507725673e-05
"27",1980,5.72826483225698e-05
"28",1979,5.63184233603254e-05
"29",1978,5.53684795256213e-05
"30",1977,5.44326422589642e-05
"31",1976,5.35107384708746e-05
"32",1975,5.26025965412135e-05
"33",1974,5.08269191175396e-05
"34",1973,4.91042663725947e-05
"35",1972,4.74333181168146e-05
"36",1971,4.58127775234394e-05
"37",1970,4.42413710515072e-05
"38",1969,4.29684959100842e-05
"39",1968,4.1728161657453e-05
"40",1967,4.05196680589344e-05
"41",1966,3.93423259199164e-05
"42",1965,3.8195457031801e-05
"43",1964,3.76571075258877e-05
"44",1963,3.71263114202836e-05
"45",1962,3.66029756259768e-05
"46",1961,3.60870078469846e-05
"47",1960,3.55783165819461e-05
"48",1959,3.48671262751654e-05
"49",1958,3.4169287260011e-05
"50",1957,3.34845820991133e-05
"51",1956,3.2812795898596e-05
"52",1955,3.21537163059755e-05
"53",1954,3.1071000563569e-05
"54",1953,3.00225494996361e-05
"55",1952,2.90073841277508e-05
"56",1951,2.80245486950712e-05
"57",1950,2.70731103363501e-05
"58",1949,2.65769821470456e-05
"59",1948,2.60890245865481e-05
"60",1947,2.56091217814805e-05
"61",1946,2.51371591426004e-05
"62",1945,2.46730233572097e-05
"63",1944,2.48268725775946e-05
"64",1943,2.49815831228119e-05
"65",1942,2.51371591426004e-05
"66",1941,2.52936048023334e-05
"67",1940,2.54509242830483e-05
"68",1939,2.66780881375526e-05
"69",1938,2.79597722859513e-05
