it,avg,max
1,0.016882980948943603,0.1955894333148435
2,0.04736448141328945,0.1955894333148435
3,0.10586757087110478,0.22214943336350923
4,0.1368766460536012,0.30334763271691595
5,0.17513768633974902,0.36039209240387243
6,0.18636399449164578,0.5293756711049948
7,0.18194518857314243,0.5293756711049948
8,0.191687815093729,0.5293756711049948
9,0.2502615857393802,0.5293756711049948
10,0.3138884179841998,0.5293756711049948
11,0.4248302123643665,0.5298779336346893
12,0.47599396328647814,0.5298779336346893
13,0.45764709102980056,0.5298779336346893
14,0.4460038506011796,0.5298779336346893
15,0.4651846550332269,0.5414730746418593
16,0.4804438316388577,0.5414730746418593
17,0.4757969218656113,0.5414730746418593
18,0.48733684605727734,0.5414730746418593
19,0.45980253035166824,0.5414730746418593
20,0.47730386223453547,0.5414730746418593
21,0.46404721388908104,0.5414730746418593
