it,avg,max
1,0.044104189328003016,0.180218766181067
2,0.07607728907967667,0.2184828913280133
3,0.11162990152589024,0.29023836779487
4,0.11475406168478239,0.29023836779487
5,0.14914826349640914,0.31802548858654855
6,0.16792566293667552,0.3632104257809053
7,0.21137491619998022,0.38831172367405886
8,0.22231376296122923,0.38831172367405886
9,0.3268543738947526,0.38831172367405886
10,0.33785816895536885,0.3952132851615536
11,0.34635141254909935,0.3952132851615536
12,0.3486720823993858,0.3952132851615536
13,0.3384206775821806,0.3983242374365286
14,0.285713826270682,0.3983242374365286
15,0.26047345293811147,0.40452606280384507
16,0.26493652582809374,0.40452606280384507
17,0.30250065886376626,0.40452606280384507
18,0.315876506020222,0.40452606280384507
19,0.362043117855388,0.40452606280384507
20,0.2945680963324778,0.40452606280384507
21,0.20119823230327297,0.40452606280384507
